id,email,phone,reviews,weibo,offline_government_id,google,facebook,selfie,work_email
1045387,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1005455,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1075680,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1085415,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1068665,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1014122,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1067898,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1013622,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1192228,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1139341,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1097311,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1132400,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1107169,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1087711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1017145,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1006242,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1049403,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1148699,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1067323,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1015537,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1026370,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1081058,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1145830,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1048370,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1046704,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1095438,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1028234,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1176081,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1095639,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1057316,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1159336,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1172911,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1009756,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1085472,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1197095,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1036308,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1178528,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1170637,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1184665,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1128411,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1043735,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1014505,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1119148,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1080051,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092602,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1027359,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1065922,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1147456,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1191132,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1002801,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1066116,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1198516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1191637,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1080019,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1130304,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1130042,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1173672,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1195064,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1000447,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1002315,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1095169,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1067019,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1122637,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1089003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152268,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1002195,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1020729,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
1045622,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1170972,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1065878,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1075888,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1045437,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1056945,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1014810,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1059462,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1079638,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1097757,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1137572,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1142048,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1050001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1095967,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1081098,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1155766,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1133706,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1005780,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1029499,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1179133,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1004574,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1180188,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1078506,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1136410,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1077881,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1049435,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1193905,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1044020,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1016923,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1002927,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1018733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1129756,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1091153,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1073333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1192929,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1115575,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1192669,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1009449,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1065894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1055521,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1075592,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1082290,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004121,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1036428,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1150906,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1124336,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1091935,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1190666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1040859,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
1191717,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
